algo;n;ms
Prim;100;0.028003
Prim;200;0.07213
Prim;300;0.134831
Prim;400;0.203531
Prim;500;0.29984
Prim;600;0.417081
Prim;700;0.483815
Prim;800;0.603977
Prim;900;0.719288
Prim;1000;0.903016
Prim;1100;1.04915
Prim;1200;1.18935
Prim;1300;1.36746
Prim;1400;1.55735
Prim;1500;1.75857
Prim;1600;2.00145
Prim;1700;2.2348
Prim;1800;2.47069
Prim;1900;2.70918
Prim;2000;2.99868
Prim;2100;3.4163
Prim;2200;3.7381
Prim;2300;4.09787
Prim;2400;4.49961
Prim;2500;4.74714
Prim;2600;5.15589
Prim;2700;5.44078
Prim;2800;5.77773
Prim;2900;6.12639
Prim;3000;6.54033
Prim;3100;7.06473
Prim;3200;7.62255
Prim;3300;8.2327
Prim;3400;8.62291
Prim;3500;8.81796
Prim;3600;9.14239
Prim;3700;9.61362
Prim;3800;10.1415
Prim;3900;10.6868
Prim;4000;11.1038
Prim;4100;11.5939
Prim;4200;12.625
Prim;4300;13.5907
Prim;4400;13.7306
Prim;4500;13.7392
Prim;4600;14.2056
Prim;4700;15.2393
Prim;4800;15.9943
Prim;4900;17.2241
Prim;5000;16.6843
Kruskal;100;0.400852
Kruskal;200;0.148511
Kruskal;300;0.35321
Kruskal;400;0.666046
Kruskal;500;1.1072
Kruskal;600;1.67732
Kruskal;700;2.34172
Kruskal;800;3.07459
Kruskal;900;3.98407
Kruskal;1000;4.97404
Kruskal;1100;6.08698
Kruskal;1200;7.75165
Kruskal;1300;8.88318
Kruskal;1400;10.6578
Kruskal;1500;12.2194
Kruskal;1600;14.0831
Kruskal;1700;16.5633
Kruskal;1800;18.1875
Kruskal;1900;20.1524
Kruskal;2000;22.3139
Kruskal;2100;25.3836
Kruskal;2200;27.7776
Kruskal;2300;30.8337
Kruskal;2400;33.153
Kruskal;2500;36.7599
Kruskal;2600;39.777
Kruskal;2700;42.7621
Kruskal;2800;45.9189
Kruskal;2900;49.3023
Kruskal;3000;53.1737
Kruskal;3100;58.833
Kruskal;3200;62.6199
Kruskal;3300;65.8326
Kruskal;3400;69.6189
Kruskal;3500;75.0235
Kruskal;3600;82.4617
Kruskal;3700;82.2286
Kruskal;3800;92.2658
Kruskal;3900;97.4307
Kruskal;4000;99.7553
Kruskal;4100;103.331
Kruskal;4200;109.088
Kruskal;4300;113.561
Kruskal;4400;119.183
Kruskal;4500;124.278
Kruskal;4600;133.473
Kruskal;4700;139.273
Kruskal;4800;146.391
