algo;n;ms
Prim;100;0.03694
Prim;200;0.089453
Prim;300;0.120573
Prim;400;0.161935
Prim;500;0.206954
Prim;600;0.256973
Prim;700;0.308312
Prim;800;0.336022
Prim;900;0.393453
Prim;1000;0.453605
Prim;1100;0.493978
Prim;1200;0.541234
Prim;1300;0.593118
Prim;1400;0.641005
Prim;1500;0.727493
Prim;1600;0.753332
Prim;1700;0.79677
Prim;1800;0.839776
Prim;1900;0.916003
Prim;2000;0.973713
Prim;2100;0.97142
Prim;2200;1.21341
Prim;2300;1.12314
Prim;2400;1.34264
Prim;2500;1.28197
Prim;2600;1.27444
Prim;2700;1.66399
Prim;2800;1.45091
Prim;2900;1.60815
Prim;3000;1.61092
Prim;3100;1.59954
Prim;3200;1.65724
Prim;3300;1.67852
Prim;3400;1.75325
Prim;3500;1.7882
Prim;3600;2.05715
Prim;3700;2.26838
Prim;3800;2.1053
Prim;3900;1.9932
Prim;4000;2.06195
Prim;4100;2.0913
Prim;4200;2.14621
Prim;4300;2.20419
Prim;4400;2.26713
Prim;4500;2.33145
Prim;4600;2.41067
Prim;4700;2.49431
Prim;4800;2.54104
Prim;4900;2.6189
Prim;5000;2.6636
Prim;5100;2.71919
Prim;5200;2.78488
Prim;5300;2.85072
Prim;5400;2.94153
Prim;5500;3.42985
Prim;5600;4.5376
Prim;5700;4.86873
Prim;5800;3.5072
Prim;5900;3.54882
Prim;6000;3.74758
Prim;6100;3.85978
Prim;6200;4.03723
Prim;6300;3.68881
Prim;6400;3.84317
Prim;6500;3.90051
Prim;6600;3.95206
Prim;6700;4.03875
Prim;6800;4.35313
Prim;6900;4.31535
Prim;7000;4.7886
Prim;7100;4.70108
Prim;7200;4.7562
Prim;7300;4.95524
Prim;7400;4.85857
Prim;7500;5.00624
Prim;7600;5.10854
Prim;7700;5.37178
Prim;7800;4.8457
Prim;7900;4.69361
Prim;8000;4.81599
Prim;8100;4.82925
Prim;8200;5.03521
Prim;8300;5.07822
Prim;8400;5.29724
Prim;8500;5.44379
Prim;8600;5.24927
Prim;8700;5.33248
Prim;8800;5.33492
Prim;8900;5.38521
Prim;9000;5.49293
Prim;9100;5.60913
Prim;9200;5.62254
Prim;9300;5.76241
Prim;9400;5.79515
Prim;9500;5.95636
Prim;9600;6.06636
Prim;9700;5.95857
Prim;9800;5.98437
Prim;9900;6.67033
Prim;10000;6.16647
Kruskal;100;0.064391
Kruskal;200;0.154942
Kruskal;300;0.258049
Kruskal;400;0.385916
Kruskal;500;0.509885
Kruskal;600;0.640534
Kruskal;700;0.785388
Kruskal;800;0.932486
Kruskal;900;1.08348
Kruskal;1000;1.22785
Kruskal;1100;1.38589
Kruskal;1200;1.54635
Kruskal;1300;1.71595
Kruskal;1400;1.86362
Kruskal;1500;2.04246
Kruskal;1600;2.23382
Kruskal;1700;2.37749
Kruskal;1800;2.57531
Kruskal;1900;2.74627
Kruskal;2000;2.92203
Kruskal;2100;3.06642
Kruskal;2200;3.25739
Kruskal;2300;3.44713
Kruskal;2400;3.63406
Kruskal;2500;3.79495
Kruskal;2600;3.99076
Kruskal;2700;4.19166
Kruskal;2800;4.39128
Kruskal;2900;4.5691
Kruskal;3000;4.75967
Kruskal;3100;4.93224
Kruskal;3200;5.11428
Kruskal;3300;5.28923
Kruskal;3400;5.51442
Kruskal;3500;5.73128
Kruskal;3600;5.93368
Kruskal;3700;6.07087
Kruskal;3800;6.59225
Kruskal;3900;6.74554
Kruskal;4000;6.98558
Kruskal;4100;7.20241
Kruskal;4200;7.39118
Kruskal;4300;7.68537
Kruskal;4400;7.9594
Kruskal;4500;8.0727
Kruskal;4600;8.25918
Kruskal;4700;8.44433
Kruskal;4800;8.70897
Kruskal;4900;8.82095
Kruskal;5000;9.29131
Kruskal;5100;9.8318
Kruskal;5200;10.9196
Kruskal;5300;10.4579
Kruskal;5400;10.9458
Kruskal;5500;13.2346
Kruskal;5600;12.5796
Kruskal;5700;11.8725
Kruskal;5800;12.0463
Kruskal;5900;12.6524
Kruskal;6000;12.7064
Kruskal;6100;12.1884
Kruskal;6200;12.5558
Kruskal;6300;12.4383
Kruskal;6400;12.7958
Kruskal;6500;12.9959
Kruskal;6600;13.0236
Kruskal;6700;13.2946
Kruskal;6800;13.7202
Kruskal;6900;14.074
Kruskal;7000;14.1161
Kruskal;7100;14.6692
Kruskal;7200;15.1234
Kruskal;7300;15.1873
Kruskal;7400;15.207
Kruskal;7500;15.9072
Kruskal;7600;15.7478
Kruskal;7700;16.6734
